year,ABC,AMC,CBS,HBO,NBC,Netflix,Showtime
2000,47.185360094451006,0.0,37.961761297798375,33.07142857142857,40.19786096256684,63.89247311827957,43.308176100628934
2001,48.40852390852391,30.0,38.33412604042806,38.705882352941174,40.214285714285715,64.40425531914893,49.35374149659864
2002,42.103159851301115,0.0,38.48848484848485,40.02061855670103,40.16444444444444,63.40860215053763,42.76428571428571
2003,43.579448144624166,30.0,39.00747198007472,46.526315789473685,39.96536796536797,60.494949494949495,42.07751937984496
2004,49.84879032258065,45.0,38.48831168831169,45.28235294117647,42.407960199004975,56.810810810810814,46.346456692913385
2005,50.04361054766734,30.0,40.20332480818414,40.42857142857143,42.49625935162095,57.345454545454544,41.8235294117647
2006,51.73348519362187,0.0,37.83840503672613,41.675925925925924,41.696821515892424,62.582417582417584,45.11409395973154
2007,52.1627408993576,47.38461538461539,37.12090909090909,41.892857142857146,43.60687960687961,65.79069767441861,43.91089108910891
2008,52.23100775193799,49.0,36.91599190283401,32.922413793103445,45.67076923076923,62.73684210526316,39.78888888888889
2009,50.83461962513782,47.92307692307692,38.16632231404959,33.3963963963964,40.686868686868685,59.647619047619045,35.515151515151516
2010,46.94502617801047,47.28888888888889,37.26840855106888,34.06535947712418,40.08093994778068,73.08974358974359,33.104838709677416
2011,43.35144312393888,46.05,41.34576757532281,39.597122302158276,38.07277628032345,53.676923076923075,35.929577464788736
2012,43.97911547911548,46.6231884057971,40.25910364145658,40.18115942028985,36.8625,66.40983606557377,36.56687898089172
2013,41.731656184486376,46.850746268656714,36.86871961102107,42.027272727272724,39.145933014354064,61.02,43.63076923076923
2014,41.769315673289185,44.166666666666664,35.07085714285714,43.518181818181816,41.14,53.05691056910569,44.6036036036036
2015,41.84368530020704,41.534246575342465,36.9056420233463,36.81372549019608,41.76346604215457,41.65424430641822,46.91588785046729
2016,41.336755646817245,41.47191011235955,37.187171398527866,36.830357142857146,42.1260053619303,34.313747228381374,51.17307692307692
2017,39.995685005393746,41.91428571428571,36.348054679284964,36.958333333333336,39.943693693693696,34.693548387096776,49.666666666666664
2018,37.18271604938272,41.67,35.38475665748393,35.06802721088435,40.77412280701754,34.6839762611276,48.786407766990294
2019,35.482412060301506,44.544444444444444,35.66915191053122,36.98843930635838,40.729665071770334,32.98896247240618,47.678260869565214
2020,36.51863354037267,41.15853658536585,35.88440111420613,32.31654676258993,42.826797385620914,34.24792703150912,43.24761904761905
2021,37.4910447761194,46.12698412698413,34.61257606490872,30.446153846153845,40.77445109780439,31.29862174578867,46.68235294117647
2022,36.9814502529511,44.18181818181818,32.6162669447341,44.39855072463768,40.245726495726494,31.756568778979908,49.568627450980394
2023,40.23505154639175,47.41304347826087,33.07324840764331,39.70247933884298,39.32380952380952,35.225768321513,56.297872340425535
2024,38.67981438515081,48.833333333333336,34.651476793248946,39.06521739130435,41.986817325800374,32.79440789473684,51.44444444444444
